Symbol,Date,Close
UNL,5/2/2021,19000
UNL,4/29/2021,19062
UNL,4/28/2021,19450
UNL,4/27/2021,19476
UNL,4/26/2021,19095
UNL,4/25/2021,19045
UNL,4/22/2021,19440
UNL,4/21/2021,19300
UNL,4/20/2021,19294
UNL,4/19/2021,19201
UNL,4/18/2021,19300
UNL,4/15/2021,19500
UNL,4/13/2021,19287
UNL,4/12/2021,19897
UNL,4/7/2021,19601
UNL,4/6/2021,20000
UNL,4/5/2021,19787
UNL,4/4/2021,20190
UNL,4/1/2021,20300
UNL,3/31/2021,20200
UNL,3/30/2021,20400
UNL,3/29/2021,20100
UNL,3/25/2021,19900
UNL,3/24/2021,19869
UNL,3/23/2021,19210
UNL,3/22/2021,19600
UNL,3/21/2021,19500
UNL,3/18/2021,18965
UNL,3/17/2021,19350
UNL,3/16/2021,19400
UNL,3/15/2021,19200
UNL,3/14/2021,18900
UNL,3/10/2021,19184
UNL,3/9/2021,18450
UNL,3/8/2021,18450
UNL,3/4/2021,18722
UNL,3/3/2021,18728
UNL,3/2/2021,18728
UNL,3/1/2021,19500
UNL,2/28/2021,19380
UNL,2/24/2021,19700
UNL,2/23/2021,19204
UNL,2/22/2021,20275
UNL,2/18/2021,19899
UNL,2/17/2021,19510
UNL,2/16/2021,19570
UNL,2/15/2021,19600
UNL,2/14/2021,19500
UNL,2/11/2021,19700
UNL,2/10/2021,20100
UNL,2/9/2021,20000
UNL,2/8/2021,19990
UNL,2/7/2021,20022
UNL,2/4/2021,19800
UNL,2/3/2021,19600
UNL,2/2/2021,20000
UNL,2/1/2021,20001
UNL,1/31/2021,19460
UNL,1/28/2021,20250
UNL,1/27/2021,19750
UNL,1/26/2021,20001
UNL,1/25/2021,20150
UNL,1/24/2021,20440
UNL,1/21/2021,20450
UNL,1/20/2021,20300
UNL,1/19/2021,20700
UNL,1/18/2021,20489
UNL,1/17/2021,19802
UNL,1/13/2021,19688
UNL,1/12/2021,19310
UNL,1/11/2021,19589
UNL,1/10/2021,19300
UNL,1/7/2021,18802
UNL,1/6/2021,18780
UNL,1/5/2021,18889
UNL,1/4/2021,19000
UNL,1/3/2021,19110
UNL,12/31/2020,19150
UNL,12/30/2020,18850
UNL,12/29/2020,18800
UNL,12/28/2020,18750
UNL,12/27/2020,18700
UNL,12/23/2020,19551
UNL,12/22/2020,19168
UNL,12/21/2020,18700
UNL,12/20/2020,18620
UNL,12/17/2020,19200
UNL,12/16/2020,19250
UNL,12/15/2020,19220
UNL,12/14/2020,19200
UNL,12/13/2020,20200
UNL,12/10/2020,19300
UNL,12/9/2020,19600
UNL,12/8/2020,18973
UNL,12/7/2020,20189
UNL,12/6/2020,19406
UNL,12/3/2020,19799
UNL,12/2/2020,20100
UNL,12/1/2020,21200
UNL,11/30/2020,21200
UNL,11/29/2020,21592
UNL,11/26/2020,21400
UNL,11/25/2020,21650
UNL,11/24/2020,20286
UNL,11/23/2020,20700
UNL,11/22/2020,19700
UNL,11/19/2020,20344
UNL,11/18/2020,18495
UNL,11/12/2020,18500
UNL,11/11/2020,18460
UNL,11/10/2020,17800
UNL,11/9/2020,17801
UNL,11/8/2020,18000
UNL,11/5/2020,18200
UNL,11/4/2020,18540
UNL,11/3/2020,18300
UNL,11/2/2020,18000
UNL,10/29/2020,18100
UNL,10/28/2020,18100
UNL,10/22/2020,18000
UNL,10/21/2020,17515
UNL,10/20/2020,17800
UNL,10/18/2020,17453
UNL,10/15/2020,17501
UNL,10/14/2020,18129
UNL,10/13/2020,18350
UNL,10/11/2020,17800
UNL,10/7/2020,18150
UNL,10/6/2020,18100
UNL,10/5/2020,18100
UNL,10/4/2020,18050
UNL,10/1/2020,17900
UNL,9/30/2020,18200
UNL,9/29/2020,17895
UNL,9/28/2020,17901
UNL,9/27/2020,18025
UNL,9/24/2020,19404
UNL,9/23/2020,19800
UNL,9/22/2020,19800
UNL,9/21/2020,19800
UNL,9/20/2020,19889
UNL,9/17/2020,19502
UNL,9/14/2020,19900
UNL,9/13/2020,19900
UNL,9/10/2020,19890
UNL,9/6/2020,19150
UNL,8/31/2020,18870
UNL,8/27/2020,18717
UNL,8/26/2020,19098
UNL,8/25/2020,19000
UNL,8/24/2020,18800
UNL,8/23/2020,18492
UNL,8/20/2020,18130
UNL,8/18/2020,18300
UNL,8/17/2020,18300
UNL,8/16/2020,18200
UNL,8/13/2020,19000
UNL,8/11/2020,19000
UNL,8/10/2020,19000
UNL,8/5/2020,19210
UNL,8/3/2020,19210
UNL,8/2/2020,19210
UNL,7/30/2020,19210
UNL,7/29/2020,19210
UNL,7/28/2020,19210
UNL,7/27/2020,19600
UNL,7/26/2020,19554
UNL,7/22/2020,19966
UNL,7/21/2020,19975
UNL,7/15/2020,18800
UNL,7/14/2020,19111
UNL,7/12/2020,19500
UNL,7/9/2020,19569
UNL,7/8/2020,19186
UNL,7/5/2020,19193
UNL,7/1/2020,19584
UNL,3/17/2020,19200
UNL,3/16/2020,20286
UNL,3/5/2020,21553
UNL,3/3/2020,22440
UNL,3/1/2020,22000
UNL,2/27/2020,23330
UNL,2/26/2020,21596
UNL,2/25/2020,19633
UNL,2/18/2020,17849
UNL,2/16/2020,18213
UNL,2/12/2020,18584
UNL,2/10/2020,18963
UNL,2/3/2020,19350
UNL,2/2/2020,18906
UNL,1/30/2020,18536
UNL,1/27/2020,18914
UNL,1/26/2020,18914
UNL,1/21/2020,19300
UNL,1/15/2020,19300
UNL,1/13/2020,19100
UNL,1/12/2020,19050
UNL,1/7/2020,19050
UNL,1/6/2020,19000
UNL,12/24/2019,18941
UNL,12/23/2019,18571
UNL,12/17/2019,17500
UNL,12/16/2019,17892
UNL,12/12/2019,17542
UNL,12/11/2019,18261
UNL,11/21/2019,19013
UNL,11/18/2019,19401
UNL,11/17/2019,19796
UNL,10/10/2019,20200
UNL,10/3/2019,20185
UNL,9/26/2019,18350
UNL,9/23/2019,18621
UNL,9/22/2019,19000
UNL,9/18/2019,19200
UNL,9/17/2019,19400
UNL,9/9/2019,19400
UNL,8/26/2019,19600
UNL,8/25/2019,20000
UNL,8/6/2019,19792
UNL,7/31/2019,20195
